,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
1195,energetic,uptown_as,Workout Motivation,0.290428571,0.093872603,0.467214286,0.093872603,-29.41778571,44.58722066,0.2146024,3.91E-06
1196,energetic,uptown_as,Workout Motivation,0.310878968,0.100889295,15.32184325,0.100889295,-26.8565,79.59235977,0.37855702,0.016061265
1197,energetic,uptown_as,Workout Motivation,0.308107143,0.098722843,13.63309127,0.098722843,-21.42480952,19.38648128,0.18750876,8.32E-07
1198,energetic,uptown_as,Workout Motivation,0.250255952,0.088355837,32.69216667,0.088355837,-34.13835714,32.61580536,0.1961058,6.34E-07
1199,energetic,uptown_as,Workout Motivation,0.264093254,0.104244005,-4.022071429,0.104244005,-19.45595238,26.33818488,0.287994265,1.39E-05
1200,energetic,Spotify,Fantastic K-Workout,0.277732143,0.090457115,9.295875,0.090457115,-22.20633333,119.6224544,0.23302164,8.95E-06
1201,energetic,Spotify,Fantastic K-Workout,0.335392857,0.075765996,1.666269841,0.075765996,-34.17838095,81.43181683,0.24588568,3.21E-06
1202,energetic,Spotify,Fantastic K-Workout,0.302486111,0.105772286,4.417255952,0.105772286,-24.36692857,102.0999777,0.2495754,1.15E-05
1203,energetic,Spotify,Fantastic K-Workout,0.383994048,0.106950658,14.10853968,0.106950658,-25.62564286,112.8739392,0.16669376,9.51E-07
1204,energetic,Spotify,Fantastic K-Workout,0.275625,0.08354645,12.33898611,0.08354645,-16.49411905,101.8204511,0.24999852,5.11E-07
1205,energetic,Spotify,Fantastic K-Workout,0.288535714,0.09082052,22.70425198,0.09082052,-17.92540476,122.2524965,0.22730464,7.97E-07
1206,energetic,Spotify,Fantastic K-Workout,0.278146825,0.100178953,12.17482738,0.100178953,-18.7395,119.9941007,0.2587106,0.007467777
1207,energetic,Spotify,Fantastic K-Workout,0.435049603,0.080292735,22.67477183,0.080292735,-15.30180952,131.3085909,0.22706608,0.00574971
1208,energetic,Spotify,Fantastic K-Workout,0.237640873,0.090051423,13.17005952,0.090051423,-25.0272381,77.0301496,0.2999858,6.97E-06
1209,energetic,Spotify,Fantastic K-Workout,0.436077381,0.072757817,15.16881349,0.072757817,-13.311,135.0825745,0.24418096,5.65E-06
1210,energetic,Spotify,Fantastic K-Workout,0.318801587,0.087156728,11.79362897,0.087156728,-18.31116667,112.9208921,0.17613824,3.01E-06
1211,energetic,Spotify,Fantastic K-Workout,0.248168651,0.073555246,-4.849978175,0.073555246,-24.59638095,118.2403439,0.23442744,1.81E-06
